Wavelength (nm),Ge_Absorption_Coefficient (cm^-1) 
510.21,612702.84
530.59,589685.54
550.95,525693.04
570.05,462701.43
583.90,412489.20
600.57,311503.93
614.55,229312.75
623.45,196748.09
634.90,168807.94
652.71,142998.69
679.53,109274.33
698.52,89173.52
722.70,73635.77
751.98,64812.30
782.52,53519.29
813.08,47711.39
843.63,41422.81
885.62,27913.24
919.99,25203.75
986.20,19776.32
1051.13,16123.35
1113.51,12490.87
1140.24,11278.40
1196.27,10183.62
1309.59,7990.66
1417.82,6190.42
1462.20,5882.30
1492.94,5111.79
1526.03,4011.00
1543.74,2915.24
1565.42,1600.10
1579.38,878.25
1588.23,458.06
1592.00,267.98
1608.54,223.82
1627.62,175.87
1649.23,121.46
1661.93,83.88
1678.44,50.99
1696.25,42.11
1724.25,33.89
1759.88,24.32
1787.87,17.90
1817.12,11.90
1845.10,7.61
1871.79,4.69
1908.66,2.24
1925.18,1.54
1941.70,1.07